0.000000000000000000e+00,-9.006491787414466543e+00,2.502903574425098920e+00,3.139111097007967754e-01,-1.790430165688635961e-03,-5.388451726163719264e-03,1.657481625395807931e-04
1.000000000000000000e+00,-9.008280588085783691e+00,2.497514670571624240e+00,3.140768010572092539e-01,-1.787171119137153860e-03,-5.389355642160861999e-03,1.656345420358456308e-04
2.000000000000000000e+00,-9.010066129537321444e+00,2.492124863818022895e+00,3.142423787683784608e-01,-1.783911726340388663e-03,-5.390257526420428810e-03,1.655208720618352072e-04
3.000000000000000000e+00,-9.011848411423489580e+00,2.486734156196019452e+00,3.144078427848605584e-01,-1.780651988618807110e-03,-5.391157378969652254e-03,1.654071526704948549e-04
4.000000000000000000e+00,-9.013627433400023037e+00,2.481342549737310499e+00,3.145731930572646662e-01,-1.777391907292563472e-03,-5.392055199836686893e-03,1.652933839147738640e-04
5.000000000000000000e+00,-9.015403195123978364e+00,2.475950046473563315e+00,3.147384295362529172e-01,-1.774131483681496736e-03,-5.392950989050603224e-03,1.651795658476254273e-04
6.000000000000000000e+00,-9.017175696253731942e+00,2.470556648436416758e+00,3.149035521725404019e-01,-1.770870719105134073e-03,-5.393844746641393746e-03,1.650656985220065327e-04
7.000000000000000000e+00,-9.018944936448976435e+00,2.465162357657478154e+00,3.150685609168951129e-01,-1.767609614882690401e-03,-5.394736472639970366e-03,1.649517819908779355e-04
8.000000000000000000e+00,-9.020710915370722560e+00,2.459767176168324188e+00,3.152334557201379450e-01,-1.764348172333072076e-03,-5.395626167078161790e-03,1.648378163072041045e-04
9.000000000000000000e+00,-9.022473632681304423e+00,2.454371106000498237e+00,3.153982365331429727e-01,-1.761086392774877541e-03,-5.396513829988718730e-03,1.647238015239530591e-04
1.000000000000000000e+01,-9.024233088044375961e+00,2.448974149185511706e+00,3.155629033068370060e-01,-1.757824277526401011e-03,-5.397399461405306964e-03,1.646097376940962884e-04
1.100000000000000000e+01,-9.025989281124902064e+00,2.443576307754840471e+00,3.157274559921999235e-01,-1.754561827905635075e-03,-5.398283061362509072e-03,1.644956248706087236e-04
1.200000000000000000e+01,-9.027742211589171006e+00,2.438177583739927989e+00,3.158918945402646172e-01,-1.751299045230274385e-03,-5.399164629895830507e-03,1.643814631064686570e-04
1.300000000000000000e+01,-9.029491879104783791e+00,2.432777979172178195e+00,3.160562189021169921e-01,-1.748035930817718039e-03,-5.400044167041677910e-03,1.642672524546577150e-04
1.400000000000000000e+01,-9.031238283340663031e+00,2.427377496082962161e+00,3.162204290288958553e-01,-1.744772485985073051e-03,-5.400921672837377327e-03,1.641529929681606950e-04
1.500000000000000000e+01,-9.032981423967052947e+00,2.421976136503609212e+00,3.163845248717928604e-01,-1.741508712049156301e-03,-5.401797147321161195e-03,1.640386846999657285e-04
1.600000000000000000e+01,-9.034721300655503384e+00,2.416573902465411372e+00,3.165485063820528966e-01,-1.738244610326496707e-03,-5.402670590532164877e-03,1.639243277030642809e-04
1.700000000000000000e+01,-9.036457913078882243e+00,2.411170795999622918e+00,3.167123735109738103e-01,-1.734980182133337608e-03,-5.403542002510424054e-03,1.638099220304512329e-04
1.800000000000000000e+01,-9.038191260911382585e+00,2.405766819137454604e+00,3.168761262099063503e-01,-1.731715428785635244e-03,-5.404411383296878202e-03,1.636954677351245820e-04
1.900000000000000000e+01,-9.039921343828506650e+00,2.400361973910078994e+00,3.170397644302541118e-01,-1.728450351599062013e-03,-5.405278732933354105e-03,1.635809648700861478e-04
2.000000000000000000e+01,-9.041648161507072956e+00,2.394956262348624243e+00,3.172032881234742030e-01,-1.725184951889004083e-03,-5.406144051462575401e-03,1.634664134883410838e-04
2.100000000000000000e+01,-9.043371713625216302e+00,2.389549686484174984e+00,3.173666972410762455e-01,-1.721919230970560310e-03,-5.407007338928153904e-03,1.633518136428983110e-04
2.200000000000000000e+01,-9.045091999862384213e+00,2.384142248347773219e+00,3.175299917346230405e-01,-1.718653190158542015e-03,-5.407868595374583538e-03,1.632371653867704096e-04
2.300000000000000000e+01,-9.046809019899342275e+00,2.378733949970416539e+00,3.176931715557305136e-01,-1.715386830767471693e-03,-5.408727820847245536e-03,1.631224687729737274e-04
2.400000000000000000e+01,-9.048522773418167020e+00,2.373324793383055020e+00,3.178562366560674923e-01,-1.712120154111579319e-03,-5.409585015392401504e-03,1.630077238545284612e-04
2.500000000000000000e+01,-9.050233260102249488e+00,2.367914780616591663e+00,3.180191869873557065e-01,-1.708853161504802565e-03,-5.410440179057190817e-03,1.628929306844586838e-04
2.600000000000000000e+01,-9.051940479636296999e+00,2.362503913701884617e+00,3.181820225013701209e-01,-1.705585854260784420e-03,-5.411293311889631488e-03,1.627780893157923980e-04
2.700000000000000000e+01,-9.053644431706327822e+00,2.357092194669740515e+00,3.183447431499387692e-01,-1.702318233692869500e-03,-5.412144413938617567e-03,1.626631998015615373e-04
2.800000000000000000e+01,-9.055345115999678285e+00,2.351679625550918473e+00,3.185073488849424206e-01,-1.699050301114104480e-03,-5.412993485253918269e-03,1.625482621948018565e-04
2.900000000000000000e+01,-9.057042532204988561e+00,2.346266208376126539e+00,3.186698396583151904e-01,-1.695782057837234846e-03,-5.413840525886174510e-03,1.624332765485531494e-04
3.000000000000000000e+01,-9.058736680012222209e+00,2.340851945176022575e+00,3.188322154220440408e-01,-1.692513505174704025e-03,-5.414685535886898035e-03,1.623182429158590316e-04
3.100000000000000000e+01,-9.060427559112648410e+00,2.335436837981212488e+00,3.189944761281691687e-01,-1.689244644438649915e-03,-5.415528515308474025e-03,1.622031613497668589e-04
