

*******************************************************************************
Ephemeris / API_USER Fri Dec 17 03:23:10 2021 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Uranus (799)                    {source: ura116}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2000-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2001-Dec-01 00:00:00.0000 TDB
Step-size       : 7000 steps
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2451544.500000000, A.D. 2000-Jan-01 00:00:00.0000,  1.442337769031398E+01, -1.373845003715413E+01, -2.379227902376431E-01,  2.683840415872547E-03,  2.665016671623693E-03, -2.484248825617868E-05,
2451544.600000000, A.D. 2000-Jan-01 02:24:00.0000,  1.442364607227254E+01, -1.373818353305718E+01, -2.379252745228657E-01,  2.683798884915255E-03,  2.665065161507502E-03, -2.484375266670823E-05,
2451544.700000000, A.D. 2000-Jan-01 04:48:00.0000,  1.442391445010285E+01, -1.373791702414071E+01, -2.379277590991233E-01,  2.683757709955917E-03,  2.665113086223773E-03, -2.484833745423687E-05,
2451544.800000000, A.D. 2000-Jan-01 07:12:00.0000,  1.442418282379828E+01, -1.373765051045334E+01, -2.379302443030666E-01,  2.683716049014327E-03,  2.665160609885494E-03, -2.485629619578315E-05,
2451544.900000000, A.D. 2000-Jan-01 09:36:00.0000,  1.442445119326983E+01, -1.373738399202574E+01, -2.379327304655491E-01,  2.683673106700100E-03,  2.665207923801383E-03, -2.486746450242871E-05,
2451545.000000000, A.D. 2000-Jan-01 12:00:00.0000,  1.442471955835351E+01, -1.373711746886879E+01, -2.379352178916417E-01,  2.683628185633080E-03,  2.665255231007376E-03, -2.488149872474020E-05,
2451545.100000000, A.D. 2000-Jan-01 14:24:00.0000,  1.442498791882213E+01, -1.373685094097309E+01, -2.379377068451283E-01,  2.683580725110030E-03,  2.665302731022256E-03, -2.489792533635269E-05,
2451545.200000000, A.D. 2000-Jan-01 16:48:00.0000,  1.442525627440044E+01, -1.373658440831005E+01, -2.379401975380594E-01,  2.683530327601236E-03,  2.665350606169179E-03, -2.491619127398156E-05,
2451545.300000000, A.D. 2000-Jan-01 19:12:00.0000,  1.442552462478190E+01, -1.373631787083412E+01, -2.379426901250036E-01,  2.683476761806896E-03,  2.665399012531797E-03, -2.493570542750117E-05,
2451545.400000000, A.D. 2000-Jan-01 21:36:00.0000,  1.442579296964290E+01, -1.373605132848539E+01, -2.379451847005234E-01,  2.683419895302130E-03,  2.665448083961750E-03, -2.495586009388536E-05,
2451545.500000000, A.D. 2000-Jan-02 00:00:00.0000,  1.442606130864197E+01, -1.373578478119032E+01, -2.379476812971268E-01,  2.683359433216478E-03,  2.665497969554357E-03, -2.497601428334253E-05,
2451545.600000000, A.D. 2000-Jan-02 02:24:00.0000,  1.442632964143133E+01, -1.373551822886471E+01, -2.379501798852939E-01,  2.683295704678965E-03,  2.665548707025732E-03, -2.499559050948278E-05,
2451545.700000000, A.D. 2000-Jan-02 04:48:00.0000,  1.442659796766825E+01, -1.373525167141712E+01, -2.379526803745129E-01,  2.683228507519664E-03,  2.665600401879069E-03, -2.501394311441465E-05,
2451545.800000000, A.D. 2000-Jan-02 07:12:00.0000,  1.442686628703278E+01, -1.373498510875276E+01, -2.379551826139348E-01,  2.683158304430989E-03,  2.665653043957839E-03, -2.503049566686409E-05,
2451545.900000000, A.D. 2000-Jan-02 09:36:00.0000,  1.442713459923792E+01, -1.373471854077661E+01, -2.379576863937882E-01,  2.683085368847260E-03,  2.665706636586289E-03, -2.504465312045514E-05,
2451546.000000000, A.D. 2000-Jan-02 12:00:00.0000,  1.442740290402762E+01, -1.373445196739457E+01, -2.379601914455056E-01,  2.683010071214961E-03,  2.665761154140157E-03, -2.505584093600128E-05,
2451546.100000000, A.D. 2000-Jan-02 14:24:00.0000,  1.442767120119117E+01, -1.373418538851712E+01, -2.379626974456987E-01,  2.682932949090882E-03,  2.665816529950134E-03, -2.506354391392773E-05,
2451546.200000000, A.D. 2000-Jan-02 16:48:00.0000,  1.442793949057965E+01, -1.373391880406356E+01, -2.379652040242205E-01,  2.682854697319893E-03,  2.665872655143576E-03, -2.506734990063853E-05,
2451546.300000000, A.D. 2000-Jan-02 19:12:00.0000,  1.442820777212010E+01, -1.373365221396603E+01, -2.379677107768468E-01,  2.682776132140905E-03,  2.665929381028539E-03, -2.506699748268047E-05,
2451546.400000000, A.D. 2000-Jan-02 21:36:00.0000,  1.442847604582529E+01, -1.373338561817343E+01, -2.379702172826754E-01,  2.682698144038079E-03,  2.665986523575666E-03, -2.506242156008260E-05,
2451546.500000000, A.D. 2000-Jan-03 00:00:00.0000,  1.442874431179844E+01, -1.373311901665448E+01, -2.379727231256247E-01,  2.682621640437254E-03,  2.666043870738291E-03, -2.505378794369596E-05,
2451546.600000000, A.D. 2000-Jan-03 02:24:00.0000,  1.442901257023157E+01, -1.373285240940009E+01, -2.379752279184623E-01,  2.682547478527463E-03,  2.666101193429472E-03, -2.504150823664797E-05,
