

*******************************************************************************
Ephemeris / API_USER Fri Dec 17 03:22:49 2021 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mars (499)                      {source: mar097}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2000-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2001-Dec-01 00:00:00.0000 TDB
Step-size       : 7000 steps
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2451547.100000000, A.D. 2000-Jan-03 14:24:00.0000,  1.384664100720147E+00,  1.566633314236193E-02, -3.361996171678028E-02,  3.561944157760848E-04,  1.517929029065500E-02,  3.094281713095991E-04,
2451547.200000000, A.D. 2000-Jan-03 16:48:00.0000,  1.384698957313544E+00,  1.718425184062341E-02, -3.358900036485638E-02,  3.409376857967912E-04,  1.517908089232914E-02,  3.097988040613341E-04,
2451547.300000000, A.D. 2000-Jan-03 19:12:00.0000,  1.384732288306163E+00,  1.870214876521930E-02, -3.355800196943248E-02,  3.256824164943796E-04,  1.517885483096193E-02,  3.101690355618685E-04,
2451547.400000000, A.D. 2000-Jan-03 21:36:00.0000,  1.384764093846085E+00,  2.022002225484178E-02, -3.352696657091887E-02,  3.104286198212043E-04,  1.517861220307195E-02,  3.105388737454334E-04,
2451547.500000000, A.D. 2000-Jan-04 00:00:00.0000,  1.384794374077104E+00,  2.173787065217283E-02, -3.349589420651165E-02,  2.951762409483012E-04,  1.517835296506626E-02,  3.109083529238675E-04,
2451547.600000000, A.D. 2000-Jan-04 02:24:00.0000,  1.384823129144620E+00,  2.325569229227019E-02, -3.346478491357165E-02,  2.799253694477845E-04,  1.517807706646530E-02,  3.112774367388986E-04,
2451547.700000000, A.D. 2000-Jan-04 04:48:00.0000,  1.384850359202832E+00,  2.477348551342657E-02, -3.343363873265614E-02,  2.646760471955635E-04,  1.517778460182314E-02,  3.116461184463857E-04,
2451547.800000000, A.D. 2000-Jan-04 07:12:00.0000,  1.384876064403278E+00,  2.629124866026020E-02, -3.340245570179658E-02,  2.494282094791957E-04,  1.517747556169423E-02,  3.120144386661591E-04,
2451547.900000000, A.D. 2000-Jan-04 09:36:00.0000,  1.384900244896443E+00,  2.780898007045310E-02, -3.337123585786608E-02,  2.341819226334757E-04,  1.517714987025839E-02,  3.123823712324601E-04,
2451548.000000000, A.D. 2000-Jan-04 12:00:00.0000,  1.384922900842027E+00,  2.932667808202835E-02, -3.333997924126534E-02,  2.189372557657235E-04,  1.517680760816620E-02,  3.127498954955600E-04,
