            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2451546.500000000, A.D. 2000-Jan-03 00:00:00.0000,  6.522042369121643E-01, -9.231306894187111E-01, -2.725243315995141E-02,  1.608483494385811E-02,  6.360840344560292E-03, -3.973006787988246E-04,
2451546.600000000, A.D. 2000-Jan-03 02:24:00.0000,  6.538120484592373E-01, -9.224936683334443E-01, -2.729213525252547E-02,  1.607139303307914E-02,  6.379575725537667E-03, -3.967411416350151E-04,
2451546.700000000, A.D. 2000-Jan-03 04:48:00.0000,  6.554185149272906E-01, -9.218547754004343E-01, -2.733178138210696E-02,  1.605793337758787E-02,  6.398277301594908E-03, -3.961814193295647E-04,
2451546.800000000, A.D. 2000-Jan-03 07:12:00.0000,  6.570236345460712E-01, -9.212140139995267E-01, -2.737137153029575E-02,  1.604445606156030E-02,  6.416945085612431E-03, -3.956215141552933E-04,
2451546.900000000, A.D. 2000-Jan-03 09:36:00.0000,  6.586274055537186E-01, -9.205713875092774E-01, -2.741090567891797E-02,  1.603096116897729E-02,  6.435579090653858E-03, -3.950614283777416E-04,
2451547.000000000, A.D. 2000-Jan-03 12:00:00.0000,  6.602298261967717E-01, -9.199268993069216E-01, -2.745038381002649E-02,  1.601744878362428E-02,  6.454179329965243E-03, -3.945011642551671E-04,
2451547.100000000, A.D. 2000-Jan-03 14:24:00.0000,  6.618308947301383E-01, -9.192805527683611E-01, -2.748980590589928E-02,  1.600391898909136E-02,  6.472745816973840E-03, -3.939407240385531E-04,
2451547.200000000, A.D. 2000-Jan-03 16:48:00.0000,  6.634306094170648E-01, -9.186323512681501E-01, -2.752917194903909E-02,  1.599037186877320E-02,  6.491278565286901E-03, -3.933801099716244E-04,
2451547.300000000, A.D. 2000-Jan-03 19:12:00.0000,  6.650289685291411E-01, -9.179822981794672E-01, -2.756848192217311E-02,  1.597680750586879E-02,  6.509777588690899E-03, -3.928193242908414E-04,
2451547.400000000, A.D. 2000-Jan-03 21:36:00.0000,  6.666259703462534E-01, -9.173303968741098E-01, -2.760773580825113E-02,  1.596322598338165E-02,  6.528242901150096E-03, -3.922583692254259E-04,
2451547.500000000, A.D. 2000-Jan-04 00:00:00.0000,  6.682216131565888E-01, -9.166766507224654E-01, -2.764693359044610E-02,  1.594962738411951E-02,  6.546674516805777E-03, -3.916972469973545E-04,
2451547.600000000, A.D. 2000-Jan-04 02:24:00.0000,  6.698158952566060E-01, -9.160210630934982E-01, -2.768607525215240E-02,  1.593601179069436E-02,  6.565072449975044E-03, -3.911359598213724E-04,
2451547.700000000, A.D. 2000-Jan-04 04:48:00.0000,  6.714088149510038E-01, -9.153636373547367E-01, -2.772516077698566E-02,  1.592237928552246E-02,  6.583436715149634E-03, -3.905745099050070E-04,
2451547.800000000, A.D. 2000-Jan-04 07:12:00.0000,  6.730003705527273E-01, -9.147043768722458E-01, -2.776419014878214E-02,  1.590872995082412E-02,  6.601767326995130E-03, -3.900128994485668E-04,
2451547.900000000, A.D. 2000-Jan-04 09:36:00.0000,  6.745905603829194E-01, -9.140432850106206E-01, -2.780316335159715E-02,  1.589506386862384E-02,  6.620064300349583E-03, -3.894511306451570E-04,
2451548.000000000, A.D. 2000-Jan-04 12:00:00.0000,  6.761793827709269E-01, -9.133803651329599E-01, -2.784208036970569E-02,  1.588138112075012E-02,  6.638327650222731E-03, -3.888892056806879E-04,
2451548.100000000, A.D. 2000-Jan-04 14:24:00.0000,  6.777668360542690E-01, -9.127156206008527E-01, -2.788094118760064E-02,  1.586768178883543E-02,  6.656557391794821E-03, -3.883271267338774E-04,
2451548.200000000, A.D. 2000-Jan-04 16:48:00.0000,  6.793529185786081E-01, -9.120490547743658E-01, -2.791974578999213E-02,  1.585396595431634E-02,  6.674753540415444E-03, -3.877648959762692E-04,
2451548.300000000, A.D. 2000-Jan-04 19:12:00.0000,  6.809376286977544E-01, -9.113806710120173E-01, -2.795849416180763E-02,  1.584023369843323E-02,  6.692916111602758E-03, -3.872025155722349E-04,
2451548.400000000, A.D. 2000-Jan-04 21:36:00.0000,  6.825209647736183E-01, -9.107104726707701E-01, -2.799718628819038E-02,  1.582648510223051E-02,  6.711045121042122E-03, -3.866399876789873E-04,
2451548.500000000, A.D. 2000-Jan-05 00:00:00.0000,  6.841029251762156E-01, -9.100384631060068E-01, -2.803582215449874E-02,  1.581272024655642E-02,  6.729140584585341E-03, -3.860773144465849E-04,
2451548.600000000, A.D. 2000-Jan-05 02:24:00.0000,  6.856835082836367E-01, -9.093646456715156E-01, -2.807440174630640E-02,  1.579893921206305E-02,  6.747202518249496E-03, -3.855144980179449E-04,
2451548.700000000, A.D. 2000-Jan-05 04:48:00.0000,  6.872627124820171E-01, -9.086890237194800E-01, -2.811292504940036E-02,  1.578514207920644E-02,  6.765230938215795E-03, -3.849515405288548E-04,
2451548.800000000, A.D. 2000-Jan-05 07:12:00.0000,  6.888405361655421E-01, -9.080116006004506E-01, -2.815139204978118E-02,  1.577132892824638E-02,  6.783225860828813E-03, -3.843884441079718E-04,
2451548.900000000, A.D. 2000-Jan-05 09:36:00.0000,  6.904169777363993E-01, -9.073323796633423E-01, -2.818980273366161E-02,  1.575749983924659E-02,  6.801187302595146E-03, -3.838252108768470E-04,
2451549.000000000, A.D. 2000-Jan-05 12:00:00.0000,  6.919920356047831E-01, -9.066513642554057E-01, -2.822815708746665E-02,  1.574365489207455E-02,  6.819115280182668E-03, -3.832618429499232E-04,
2451549.100000000, A.D. 2000-Jan-05 14:24:00.0000,  6.935657081888651E-01, -9.059685577222173E-01, -2.826645509783208E-02,  1.572979416640156E-02,  6.837009810419373E-03, -3.826983424345462E-04,
2451549.200000000, A.D. 2000-Jan-05 16:48:00.0000,  6.951379939147634E-01, -9.052839634076673E-01, -2.830469675160400E-02,  1.571591774170288E-02,  6.854870910292246E-03, -3.821347114309815E-04,
2451549.300000000, A.D. 2000-Jan-05 19:12:00.0000,  6.967088912165483E-01, -9.045975846539327E-01, -2.834288203583840E-02,  1.570202569725746E-02,  6.872698596946527E-03, -3.815709520324172E-04,
2451549.400000000, A.D. 2000-Jan-05 21:36:00.0000,  6.982783985361939E-01, -9.039094248014750E-01, -2.838101093780022E-02,  1.568811811214824E-02,  6.890492887684362E-03, -3.810070663249770E-04,
2451549.500000000, A.D. 2000-Jan-06 00:00:00.0000,  6.998465143235828E-01, -9.032194871890127E-01, -2.841908344496235E-02,  1.567419506526195E-02,  6.908253799964089E-03, -3.804430563877289E-04,
2451549.600000000, A.D. 2000-Jan-06 02:24:00.0000,  7.014132370364775E-01, -9.025277751535100E-01, -2.845709954500581E-02,  1.566025663528920E-02,  6.925981351399099E-03, -3.798789242926932E-04,
2451549.700000000, A.D. 2000-Jan-06 04:48:00.0000,  7.029785651404885E-01, -9.018342920301686E-01, -2.849505922581780E-02,  1.564630290072460E-02,  6.943675559756718E-03, -3.793146721048624E-04,
2451549.800000000, A.D. 2000-Jan-06 07:12:00.0000,  7.045424971090802E-01, -9.011390411523972E-01, -2.853296247549237E-02,  1.563233393986659E-02,  6.961336442957480E-03, -3.787503018821963E-04,
2451549.900000000, A.D. 2000-Jan-06 09:36:00.0000,  7.061050314235231E-01, -9.004420258518130E-01, -2.857080928232824E-02,  1.561834983081769E-02,  6.978964019073809E-03, -3.781858156756454E-04,
2451550.000000000, A.D. 2000-Jan-06 12:00:00.0000,  7.076661665728983E-01, -8.997432494582125E-01, -2.860859963482950E-02,  1.560435065148434E-02,  6.996558306329310E-03, -3.776212155291534E-04,
2451550.100000000, A.D. 2000-Jan-06 14:24:00.0000,  7.092259010540684E-01, -8.990427152995634E-01, -2.864633352170393E-02,  1.559033647957699E-02,  7.014119323097645E-03, -3.770565034796688E-04,
2451550.200000000, A.D. 2000-Jan-06 16:48:00.0000,  7.107842333716460E-01, -8.983404267019918E-01, -2.868401093186295E-02,  1.557630739261030E-02,  7.031647087901443E-03, -3.764916815571628E-04,
2451550.300000000, A.D. 2000-Jan-06 19:12:00.0000,  7.123411620380000E-01, -8.976363869897591E-01, -2.872163185442050E-02,  1.556226346790291E-02,  7.049141619411577E-03, -3.759267517846270E-04,
2451550.400000000, A.D. 2000-Jan-06 21:36:00.0000,  7.138966855732068E-01, -8.969305994852587E-01, -2.875919627869210E-02,  1.554820478257774E-02,  7.066602936445867E-03, -3.753617161780962E-04,
2451550.500000000, A.D. 2000-Jan-07 00:00:00.0000,  7.154508025050564E-01, -8.962230675089886E-01, -2.879670419419510E-02,  1.553413141356186E-02,  7.084031057968390E-03, -3.747965767466510E-04,
2451550.600000000, A.D. 2000-Jan-07 02:24:00.0000,  7.170035113690215E-01, -8.955137943795448E-01, -2.883415559064740E-02,  1.552004343758659E-02,  7.101426003088371E-03, -3.742313354924310E-04,
2451550.700000000, A.D. 2000-Jan-07 04:48:00.0000,  7.185548107082272E-01, -8.948027834136090E-01, -2.887155045796608E-02,  1.550594093118771E-02,  7.118787791059099E-03, -3.736659944106488E-04,
2451550.800000000, A.D. 2000-Jan-07 07:12:00.0000,  7.201046990734572E-01, -8.940900379259246E-01, -2.890888878626826E-02,  1.549182397070523E-02,  7.136116441277236E-03, -3.731005554895946E-04,
2451550.900000000, A.D. 2000-Jan-07 09:36:00.0000,  7.216531750231048E-01, -8.933755612292940E-01, -2.894617056586880E-02,  1.547769263228377E-02,  7.153411973281528E-03, -3.725350207106555E-04,
2451551.000000000, A.D. 2000-Jan-07 12:00:00.0000,  7.232002371231784E-01, -8.926593566345542E-01, -2.898339578728087E-02,  1.546354699187236E-02,  7.170674406752135E-03, -3.719693920483164E-04,
2451551.100000000, A.D. 2000-Jan-07 14:24:00.0000,  7.247458839472721E-01, -8.919414274505670E-01, -2.902056444121467E-02,  1.544938712522465E-02,  7.187903761509522E-03, -3.714036714701802E-04,
2451551.200000000, A.D. 2000-Jan-07 16:48:00.0000,  7.262901140765350E-01, -8.912217769842106E-01, -2.905767651857639E-02,  1.543521310789903E-02,  7.205100057513427E-03, -3.708378609369703E-04,
2451551.300000000, A.D. 2000-Jan-07 19:12:00.0000,  7.278329260996758E-01, -8.905004085403527E-01, -2.909473201046867E-02,  1.542102501525852E-02,  7.222263314862146E-03, -3.702719624025524E-04,
2451551.400000000, A.D. 2000-Jan-07 21:36:00.0000,  7.293743186129160E-01, -8.897773254218520E-01, -2.913173090818850E-02,  1.540682292247111E-02,  7.239393553791290E-03, -3.697059778139381E-04,
2451551.500000000, A.D. 2000-Jan-08 00:00:00.0000,  7.309142902199949E-01, -8.890525309295310E-01, -2.916867320322756E-02,  1.539260690450960E-02,  7.256490794673109E-03, -3.691399091112974E-04,
2451551.600000000, A.D. 2000-Jan-08 02:24:00.0000,  7.324528395321389E-01, -8.883260283621685E-01, -2.920555888727142E-02,  1.537837703615176E-02,  7.273555058015429E-03, -3.685737582279673E-04,
2451551.700000000, A.D. 2000-Jan-08 04:48:00.0000,  7.339899651680323E-01, -8.875978210164910E-01, -2.924238795219802E-02,  1.536413339198058E-02,  7.290586364460593E-03, -3.680075270904765E-04,
2451551.800000000, A.D. 2000-Jan-08 07:12:00.0000,  7.355256657538217E-01, -8.868679121871470E-01, -2.927916039007836E-02,  1.534987604638410E-02,  7.307584734784811E-03, -3.674412176185366E-04,
2451551.900000000, A.D. 2000-Jan-08 09:36:00.0000,  7.370599399230690E-01, -8.861363051667074E-01, -2.931587619317449E-02,  1.533560507355577E-02,  7.324550189896892E-03, -3.668748317250721E-04,
2451552.000000000, A.D. 2000-Jan-08 12:00:00.0000,  7.385927863167560E-01, -8.854030032456414E-01, -2.935253535393944E-02,  1.532132054749429E-02,  7.341482750837615E-03, -3.663083713162207E-04,
2451552.100000000, A.D. 2000-Jan-08 14:24:00.0000,  7.401242035832545E-01, -8.846680097123063E-01, -2.938913786501711E-02,  1.530702254200389E-02,  7.358382438778656E-03, -3.657418382913457E-04,
2451552.200000000, A.D. 2000-Jan-08 16:48:00.0000,  7.416541903782971E-01, -8.839313278529420E-01, -2.942568371924030E-02,  1.529271113069445E-02,  7.375249275021579E-03, -3.651752345430567E-04,
2451552.300000000, A.D. 2000-Jan-08 19:12:00.0000,  7.431827453649810E-01, -8.831929609516442E-01, -2.946217290963116E-02,  1.527838638698143E-02,  7.392083280997155E-03, -3.646085619572097E-04,
2451552.400000000, A.D. 2000-Jan-08 21:36:00.0000,  7.447098672137216E-01, -8.824529122903660E-01, -2.949860542939980E-02,  1.526404838408624E-02,  7.408884478264165E-03, -3.640418224129283E-04,
2451552.500000000, A.D. 2000-Jan-09 00:00:00.0000,  7.462355546022570E-01, -8.817111851488937E-01, -2.953498127194415E-02,  1.524969719503607E-02,  7.425652888508738E-03, -3.634750177826113E-04,
2451552.600000000, A.D. 2000-Jan-09 02:24:00.0000,  7.477598062156189E-01, -8.809677828048378E-01, -2.957130043084899E-02,  1.523533289266420E-02,  7.442388533543331E-03, -3.629081499319394E-04,
2451552.700000000, A.D. 2000-Jan-09 04:48:00.0000,  7.492826207461014E-01, -8.802227085336271E-01, -2.960756289988519E-02,  1.522095554961013E-02,  7.459091435305713E-03, -3.623412207199027E-04,
2451552.800000000, A.D. 2000-Jan-09 07:12:00.0000,  7.508039968932672E-01, -8.794759656084834E-01, -2.964376867300932E-02,  1.520656523831954E-02,  7.475761615858318E-03, -3.617742319987932E-04,
2451552.900000000, A.D. 2000-Jan-09 09:36:00.0000,  7.523239333639000E-01, -8.787275573004226E-01, -2.967991774436288E-02,  1.519216203104465E-02,  7.492399097387050E-03, -3.612071856142336E-04,
2451553.000000000, A.D. 2000-Jan-09 12:00:00.0000,  7.538424288720095E-01, -8.779774868782313E-01, -2.971601010827135E-02,  1.517774599984408E-02,  7.509003902200643E-03, -3.606400834051797E-04,
